longitude,latitude,objectid,msoa11cd,msoa11nm
-3.016557776381236,53.487704123874238,1001,E02001453,Sefton 025
-3.036759359585479,53.492180224307731,1002,E02001450,Sefton 022
-2.976129413536701,53.491269161795259,1003,E02001451,Sefton 023
-3.026088529699884,53.478898134118111,1004,E02001458,Sefton 030
-2.997938709525365,53.476957732349881,1005,E02001459,Sefton 031
-2.342274583406413,53.489492093347636,1006,E02001176,Salford 020
-2.314251922284171,53.488419229544718,1007,E02001177,Salford 021
-2.307903159758395,53.497450982989918,1008,E02001174,Salford 018
-2.367011318365718,53.491363649261736,1009,E02001175,Salford 019
